"filename", "language", "HTML", "JavaScript", "TypeScript", "JSON", "JSON with Comments", "CSS", "TypeScript JSX", "Markdown", "XML", "comment", "blank", "total"
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/state/fixtureStatsSlice.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/styles.css", "CSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/utils/getFixturesDrawPct.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/utils/getFixturesTeamWinPct.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/fixtureStats/utils/hasFixtureStarted.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/components/fixtures/topFixtures.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 17, 98
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/components/top20Leagues/top20Leagues.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 4, 39
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/components/topCards/topCards.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 10, 61
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/components/topGoalContributorsGraph/topGoalContributorsGraph.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 13, 105
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/components/topTeams/topTeams.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 8, 60
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/components/youtubeFootball/youtubeFootball.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/services/getFIxturesFromTop20Leagues.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/services/getLeagueTeamStandingsWithLeague.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/services/getTopDefenders.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 3, 26
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/services/getTopGoalContributors.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 3, 25
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/services/getTopReds.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 3, 23
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/services/getTopTeamsFromTop5Leagues.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/services/getTopYellows.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 4, 24
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/services/getYoutubeFootball.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/styles.css", "CSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/homepage/types/types.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
